========================================
Experiment: P Controller + Spring Mass Damper
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 20.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0

Plant
-----
Mass : 1.0 kg
Spring Constant : 2.0
Damping Coefficient : 1.0

Observed Results
----------------
- Position converges to the target.
- The position settled at aproxximately 5.0 m instead of the 10.0 m target
- Maximum observed position: 5.00 aproxx.
- A steady-state error of approximately 5.0 m remained.
- P control is not effective for removing steady-state error for spring mass damper

Explanation
-----------
At equilibrium, the velocity and acceleration become zero. The controller output (Kp × error) balances the spring restoring force (k × x). Since this balance occurs before the target position is reached, the error remains non-zero, resulting in a steady-state error.

Logs
----
time,position,velocity,controller_output
4.75, 5.42673, 0.193485, 9.14653
4.76, 5.42848, 0.17448, 9.14304
4.77, 5.43003, 0.155596, 9.13993
4.78, 5.4314, 0.136839, 9.1372
4.79, 5.43258, 0.118215, 9.13483
4.8, 5.43358, 0.0997292, 9.13284
4.81, 5.4344, 0.0813886, 9.13121
4.82, 5.43503, 0.0631989, 9.12995
4.83, 5.43548, 0.0451658, 9.12904
4.84, 5.43575, 0.027295, 9.1285
4.85, 5.43585, 0.00959199, 9.1283
4.86, 5.43577, -0.00793784, 9.12846
4.87, 5.43552, -0.0252892, 9.12897
4.88, 5.43509, -0.0424569, 9.12982
4.89, 5.4345, -0.059436, 9.13101
4.9, 5.43373, -0.0762215, 9.13253
4.91, 5.43281, -0.0928087, 9.13439
4.92, 5.43171, -0.109193, 9.13657
4.93, 5.43046, -0.125369, 9.13908
4.94, 5.42905, -0.141334, 9.14191
4.95, 5.42748, -0.157083, 9.14505
4.96, 5.42575, -0.172611, 9.1485
4.97, 5.42387, -0.187915, 9.15226
4.98, 5.42184, -0.202991, 9.15632
4.99, 5.41966, -0.217834, 9.16067
5, 5.41734, -0.232443, 9.16532
5.01, 5.41487, -0.246812, 9.17026
5.02, 5.41226, -0.260938, 9.17548
5.03, 5.40951, -0.274819, 9.18097
5.04, 5.40663, -0.288452, 9.18674
5.05, 5.40361, -0.301832, 9.19278
5.06, 5.40046, -0.314958, 9.19908
5.07, 5.39718, -0.327827, 9.20564
5.08, 5.39378, -0.340436, 9.21244
5.09, 5.39025, -0.352783, 9.2195
5.1, 5.3866, -0.364865, 9.2268
5.11, 5.38283, -0.376681, 9.23433
5.12, 5.37895, -0.388227, 9.2421
5.13, 5.37496, -0.399503, 9.25009
5.14, 5.37085, -0.410506, 9.2583
5.15, 5.36664, -0.421235, 9.26672
5.16, 5.36232, -0.431689, 9.27535
5.17, 5.3579, -0.441865, 9.28419
5.18, 5.35339, -0.451762, 9.29323
5.19, 5.34877, -0.46138, 9.30245
5.2, 5.34407, -0.470717, 9.31187
5.21, 5.33927, -0.479773, 9.32146
5.22, 5.33438, -0.488546, 9.33123
5.23, 5.32941, -0.497035, 9.34118
5.24, 5.32436, -0.505241, 9.35128
5.25, 5.31923, -0.513163, 9.36154
5.26, 5.31402, -0.520801, 9.37196
5.27, 5.30874, -0.528154, 9.38252
5.28, 5.30339, -0.535222, 9.39323
5.29, 5.29797, -0.542005, 9.40407
5.3, 5.29248, -0.548504, 9.41504
5.31, 5.28693, -0.554718, 9.42613
5.32, 5.28133, -0.560648, 9.43734
5.33, 5.27566, -0.566295, 9.44867
5.34, 5.26995, -0.571658, 9.4601
5.35, 5.26418, -0.57674, 9.47164
5.36, 5.25837, -0.581539, 9.48327
5.37, 5.2525, -0.586059, 9.49499
5.38, 5.2466, -0.590298, 9.5068
5.39, 5.24066, -0.594259, 9.51868
5.4, 5.23468, -0.597943, 9.53064
5.41, 5.22867, -0.601351, 9.54267
5.42, 5.22262, -0.604484, 9.55476
5.43, 5.21655, -0.607344, 9.5669
5.44, 5.21045, -0.609932, 9.5791
5.45, 5.20433, -0.612251, 9.59135
5.46, 5.19818, -0.614302, 9.60363
5.47, 5.19202, -0.616086, 9.61596
5.48, 5.18585, -0.617606, 9.62831
5.49, 5.17966, -0.618864, 9.64068
5.5, 5.17346, -0.619861, 9.65308
5.51, 5.16725, -0.620601, 9.66549
5.52, 5.16104, -0.621085, 9.67792
5.53, 5.15483, -0.621316, 9.69034
5.54, 5.14862, -0.621296, 9.70277
5.55, 5.14241, -0.621028, 9.71519
5.56, 5.1362, -0.620514, 9.7276
5.57, 5.13, -0.619757, 9.73999
5.58, 5.12382, -0.618759, 9.75237
5.59, 5.11764, -0.617524, 9.76472
5.6, 5.11148, -0.616055, 9.77704
5.61, 5.10534, -0.614353, 9.78933
5.62, 5.09921, -0.612423, 9.80158
5.63, 5.09311, -0.610267, 9.81378
5.64, 5.08703, -0.607889, 9.82594
5.65, 5.08098, -0.605291, 9.83805
5.66, 5.07495, -0.602478, 9.85009
5.67, 5.06896, -0.599451, 9.86208
5.68, 5.063, -0.596215, 9.87401
5.69, 5.05707, -0.592772, 9.88586
