========================================
Experiment: PD Controller + Spring Mass Damper
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 20.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0
Kd : 2.0

Plant
-----
Mass : 1.0 kg
Spring Constant : 2.0
Damping Coefficient : 1.0

Observed Results
----------------
- Position converges to the target.
- The position settled at 5.0 m instead of the 10.0 m target
- Maximum observed position: 5.00
- A steady-state error of  5.0 m remained.
- PD control is not effective for removing steady-state error for spring mass damper

Explanation
-----------
At equilibrium, the velocity and acceleration become zero. The controller output (Kp × error) balances the spring restoring force (k × x). Since this balance occurs before the target position is reached, the error remains non-zero, resulting in a steady-state error.

Logs
----
time,position,velocity,controller_output
2.69, 5.11391, -0.101681, 9.97555
2.7, 5.11287, -0.103186, 9.98063
2.71, 5.11183, -0.104606, 9.98556
2.72, 5.11077, -0.105941, 9.99035
2.73, 5.1097, -0.107193, 9.99499
2.74, 5.10861, -0.108365, 9.99951
2.75, 5.10752, -0.109459, 10.0039
2.76, 5.10641, -0.110476, 10.0081
2.77, 5.1053, -0.111418, 10.0122
2.78, 5.10418, -0.112287, 10.0162
2.79, 5.10304, -0.113086, 10.0201
2.8, 5.10191, -0.113815, 10.0238
2.81, 5.10076, -0.114477, 10.0274
2.82, 5.09961, -0.115073, 10.0309
2.83, 5.09846, -0.115605, 10.0343
2.84, 5.09729, -0.116075, 10.0376
2.85, 5.09613, -0.116485, 10.0407
2.86, 5.09496, -0.116835, 10.0437
2.87, 5.09379, -0.117129, 10.0467
2.88, 5.09262, -0.117367, 10.0495
2.89, 5.09144, -0.11755, 10.0522
2.9, 5.09026, -0.117681, 10.0548
2.91, 5.08909, -0.117761, 10.0574
2.92, 5.08791, -0.117792, 10.0598
2.93, 5.08673, -0.117775, 10.0621
2.94, 5.08555, -0.117711, 10.0643
2.95, 5.08438, -0.117601, 10.0664
2.96, 5.0832, -0.117449, 10.0685
2.97, 5.08203, -0.117253, 10.0704
2.98, 5.08086, -0.117017, 10.0723
2.99, 5.07969, -0.116741, 10.0741
3, 5.07853, -0.116426, 10.0758
3.01, 5.07737, -0.116075, 10.0774
3.02, 5.07621, -0.115687, 10.079
3.03, 5.07506, -0.115265, 10.0804
3.04, 5.07391, -0.114809, 10.0818
3.05, 5.07277, -0.114321, 10.0831
3.06, 5.07163, -0.113802, 10.0843
3.07, 5.0705, -0.113254, 10.0855
3.08, 5.06937, -0.112676, 10.0866
3.09, 5.06825, -0.11207, 10.0876
3.1, 5.06713, -0.111438, 10.0886
3.11, 5.06603, -0.11078, 10.0895
3.12, 5.06493, -0.110098, 10.0903
